date,site,target_tn_day,n_obs_day,std_day,mask_y,L_all,L_key,L_corr,L0,L_aux_1,L_aux_2,primary_prior_column,gate,Hu,Hd,delta_h,Qg,Qg_sgn,Qg_abs,flow_mean,flow_min,flow_max,flow_signed_evidence,level_range,flow_range,connect,log_qg_abs,hydraulic_gradient_abs,mix,res,mem,exchange_strength,direction,connect_rank_trainfit,exchange_rank_trainfit,state_label,precip,temp_mean,wind_speed,solar_radiation,api3,api7,api15,month,doy,month_sin,month_cos,doy_sin,doy_cos,archive_xtk_up_level,archive_xtk_flow,archive_xtk_level_diff1,archive_xtk_flow_diff1,archive_xtk_flow_roll3,archive_xtk_flow_roll7,archive_hydro_available,target_site,mechanistic_window,storm_window_3d,state_score_s1,state_prob_s1,state_score_s2,state_prob_s2,state_score_s3,state_prob_s3,state_score_s4,state_prob_s4,z_delta_h,z_qg_sgn,z_qg_abs,z_connect,z_mix,z_res,z_mem,tn_history_feature,warm_retention_proxy,wind_resuspension_proxy,bio_season_proxy
2021-06-17,排水闸,1.2475,4,0.03031088913245538,1,0.0,0.0,0.0,0.0,0.0,0.0,L_corr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.28,280.0,-0.33999999999999986,8.0,263.3333333333333,214.14285714285714,1,排水闸,False,0,0.0,0.5324998872961588,-1.0999999999999999,0.17725381455337766,-1.2999999999999998,0.14512314907523183,-1.2999999999999998,0.14512314907523183,,,,,,,,1.390729468599034,0.0,0.0,0.0
2021-06-18,排水闸,1.57625,8,0.27449669852295133,1,0.0,0.0,0.0,0.0,0.0,0.0,L_corr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.93,263.0,-0.3500000000000014,-17.0,271.66666666666663,225.0,1,排水闸,False,0,0.0,0.5324998872961588,-1.0999999999999999,0.17725381455337766,-1.2999999999999998,0.14512314907523183,-1.2999999999999998,0.14512314907523183,,,,,,,,1.2475,0.0,0.0,0.0
2021-06-19,排水闸,1.5957142857142856,7,0.06253162465211223,1,0.0,0.0,0.0,0.0,0.0,0.0,L_corr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.64,233.0,-0.28999999999999915,-30.0,258.66666666666663,239.14285714285714,1,排水闸,False,0,0.0,0.5324998872961588,-1.0999999999999999,0.17725381455337766,-1.2999999999999998,0.14512314907523183,-1.2999999999999998,0.14512314907523183,,,,,,,,1.57625,0.0,0.0,0.0
2021-06-20,排水闸,1.6600000000000001,5,0.04335896677735757,1,0.0,0.0,0.0,0.0,0.0,0.0,L_corr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.47,221.0,-0.1700000000000017,-12.0,238.99999999999997,246.28571428571428,1,排水闸,False,0,0.0,0.5324998872961588,-1.0999999999999999,0.17725381455337766,-1.2999999999999998,0.14512314907523183,-1.2999999999999998,0.14512314907523183,,,,,,,,1.5957142857142856,0.0,0.0,0.0
2021-07-02,排水闸,1.5675,4,0.059739015726742555,1,0.0,0.0,0.0,0.0,0.0,0.0,L_corr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.11,305.0,0.7399999999999984,81.0,239.99999999999997,199.42857142857142,1,排水闸,False,0,0.0,0.5324998872961588,-1.0999999999999999,0.17725381455337766,-1.2999999999999998,0.14512314907523183,-1.2999999999999998,0.14512314907523183,,,,,,,,1.6600000000000001,0.0,0.0,0.0
2021-07-03,排水闸,1.80375,8,0.36155696300859697,1,0.0,0.0,0.0,0.0,0.0,0.0,L_corr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.57,278.0,0.46000000000000085,-27.0,268.99999999999994,213.28571428571428,1,排水闸,False,0,0.0,0.5324998872961588,-1.0999999999999999,0.17725381455337766,-1.2999999999999998,0.14512314907523183,-1.2999999999999998,0.14512314907523183,,,,,,,,1.5675,0.0,0.0,0.0
2021-07-04,排水闸,1.5825,8,0.05425633603552673,1,0.0,0.0,0.0,0.0,0.0,0.0,L_corr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.96,250.0,0.39000000000000057,-28.0,277.66666666666663,223.42857142857142,1,排水闸,False,0,0.0,0.5324998872961588,-1.0999999999999999,0.17725381455337766,-1.2999999999999998,0.14512314907523183,-1.2999999999999998,0.14512314907523183,,,,,,,,1.80375,0.0,0.0,0.0
2021-07-05,排水闸,1.5425,8,0.05517019122678483,1,0.0,0.0,0.0,0.0,0.0,0.0,L_corr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.38,139.0,0.41999999999999815,-111.0,222.3333333333333,222.28571428571428,1,排水闸,False,0,0.0,0.5324998872961588,-1.0999999999999999,0.17725381455337766,-1.2999999999999998,0.14512314907523183,-1.2999999999999998,0.14512314907523183,,,,,,,,1.5825,0.0,0.0,0.0
2021-07-06,排水闸,1.5650000000000002,6,0.053774219349672255,1,0.0,0.0,0.0,0.0,0.0,0.0,L_corr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.76,37.3,0.38000000000000256,-101.7,142.09999999999997,203.47142857142856,1,排水闸,False,0,0.0,0.5324998872961588,-1.0999999999999999,0.17725381455337766,-1.2999999999999998,0.14512314907523183,-1.2999999999999998,0.14512314907523183,,,,,,,,1.5425,0.0,0.0,0.0
2021-07-07,排水闸,1.3833333333333335,3,0.047140452079103105,1,0.0,0.0,0.0,0.0,0.0,0.0,L_corr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.66,0.0,-0.10000000000000142,-37.3,58.76666666666663,176.18571428571428,1,排水闸,False,0,0.0,0.5324998872961588,-1.0999999999999999,0.17725381455337766,-1.2999999999999998,0.14512314907523183,-1.2999999999999998,0.14512314907523183,,,,,,,,1.5650000000000002,0.0,0.0,0.0
