model_name,split,scope,n,stratum_column,stratum_value,selected_alpha,validation_RMSE,RMSE,MAE,R2,NSE,Top10% MAE
no_swat,train,by_state_label,125,state_label,S1,100.0,0.1602091926154814,0.11746537290245428,0.08990609829561048,0.8633743323950969,0.8633743323950969,0.220437971186987
no_swat,train,by_state_label,82,state_label,S2,100.0,0.1602091926154814,0.12344566350796747,0.0960944755013274,0.7879698569400296,0.7879698569400296,0.1701798658026757
no_swat,train,by_state_label,44,state_label,S3,100.0,0.1602091926154814,0.12162982158585589,0.09727045736084969,0.7928516340230047,0.7928516340230047,0.12502161414758656
no_swat,train,by_storm_window_3d,16,storm_window_3d,no,100.0,0.1602091926154814,0.04883603661229925,0.044563465016588526,0.9605247047666416,0.9605247047666416,0.06748100842701088
no_swat,train,by_storm_window_3d,235,storm_window_3d,yes,100.0,0.1602091926154814,0.12354888597593211,0.0965314636666899,0.835135219243271,0.835135219243271,0.20705009269695895
no_swat,train,by_mechanistic_window,251,mechanistic_window,yes,100.0,0.1602091926154814,0.12018041274731767,0.09321876255752008,0.8453734523389855,0.8453734523389855,0.20092528855468966
no_swat,train,by_direction,52,direction,neutral,100.0,0.1602091926154814,0.08222676893102297,0.06362397138415322,0.9135710409673727,0.9135710409673727,0.09115495589977436
no_swat,train,by_direction,199,direction,outflow,100.0,0.1602091926154814,0.12826032874719875,0.10095207482392751,0.8257410500808686,0.8257410500808686,0.20579587078439304
no_swat,valid,by_state_label,23,state_label,S1,100.0,0.1602091926154814,0.10856850037516627,0.07283561082925952,0.6992867027551983,0.6992867027551983,0.16918845181719896
no_swat,valid,by_state_label,1,state_label,S2,100.0,0.1602091926154814,0.010705876838491113,0.010705876838491113,,,0.010705876838491113
no_swat,valid,by_state_label,4,state_label,S3,100.0,0.1602091926154814,0.29284357688281165,0.19148267504847855,-59.788488762374,-59.788488762374,0.5713491374141981
no_swat,valid,by_storm_window_3d,3,storm_window_3d,no,100.0,0.1602091926154814,0.11276701030176411,0.09240907520570445,0.23365979699665995,0.23365979699665995,0.06211592274432243
no_swat,valid,by_storm_window_3d,25,storm_window_3d,yes,100.0,0.1602091926154814,0.1518023195268307,0.08698513601953045,0.6723331137686859,0.6723331137686859,0.3559950004154738
no_swat,valid,by_mechanistic_window,28,mechanistic_window,yes,100.0,0.1602091926154814,0.14811286733679355,0.08756627236090624,0.6632540128133341,0.6632540128133341,0.3559950004154738
no_swat,valid,by_direction,4,direction,neutral,100.0,0.1602091926154814,0.06549327557494317,0.048367202608425086,0.3009382043478731,0.3009382043478731,0.039228842767871974
no_swat,valid,by_direction,24,direction,outflow,100.0,0.1602091926154814,0.15773003368073288,0.09409945065298642,0.6230062829753895,0.6230062829753895,0.3559950004154738
no_swat,test,by_state_label,13,state_label,S1,100.0,0.1602091926154814,0.23950370191433307,0.20725086599253403,0.3203493194214537,0.3203493194214537,0.25588839971441635
